first_name,second_name,team_name,position,now_cost,minutes,goals_scored,assists,clean_sheets,expected_goals,expected_assists,total_points,market_value_m
Noah,Okafor,Leeds,Midfielder,59,153,0,0,1,0.08,0.18,6,5.9
Brenden,Aaronson,Leeds,Midfielder,54,154,0,0,1,0.01,0.02,5,5.4
Ethan,Ampadu,Leeds,Midfielder,55,270,0,0,1,0.01,0.14,9,5.5
Sean,Longstaff,Leeds,Midfielder,49,8,0,0,0,0.0,0.0,1,4.9
Wilfried,Gnonto,Leeds,Midfielder,50,0,0,0,0,0.0,0.0,0,5.0
Jack,Harrison,Leeds,Midfielder,50,0,0,0,0,0.0,0.0,0,5.0
Daniel,James,Leeds,Midfielder,50,22,0,0,0,0.24,0.01,1,5.0
Ilia,Gruev,Leeds,Midfielder,50,0,0,0,0,0.0,0.0,0,5.0
Tanaka,Ao,Leeds,Midfielder,49,117,0,1,0,0.53,0.02,6,4.9
Dominic,Calvert-Lewin,Leeds,Forward,60,252,1,0,1,1.61,0.08,10,6.0
Lukas,Nmecha,Leeds,Forward,55,38,0,1,0,0.27,0.14,5,5.5
Joël,Piroe,Leeds,Forward,50,0,0,0,0,0.0,0.0,0,5.0
Mateo,Joseph Fernández-Regatillo,Leeds,Forward,45,0,0,0,0,0.0,0.0,0,4.5
James,Trafford,Leeds,Goalkeeper,50,270,0,0,1,0.0,0.0,15,5.0
Nico,Elvedi,Leeds,Defender,45,146,0,0,0,0.0,0.57,5,4.5
Jayden,Lienou,Leeds,Defender,40,0,0,0,0,0.0,0.0,0,4.0
Alfie,Cresswell,Leeds,Midfielder,45,0,0,0,0,0.0,0.0,0,4.5
Alex,Cairns,Leeds,Goalkeeper,40,0,0,0,0,0.0,0.0,0,4.0
Michael,Zetterer,Leeds,Goalkeeper,40,0,0,0,0,0.0,0.0,0,4.0
Melvin,Bard,Leeds,Defender,45,0,0,0,0,0.0,0.0,0,4.5
Jean-Mattéo,Bahoya,Leeds,Midfielder,50,0,0,0,0,0.0,0.0,0,5.0
Alisson,Becker,Liverpool,Goalkeeper,55,270,0,0,1,0.0,0.0,10,5.5
Giorgi,Mamardashvili,Liverpool,Goalkeeper,49,0,0,0,0,0.0,0.0,0,4.9
Freddie,Woodman,Liverpool,Goalkeeper,40,0,0,0,0,0.0,0.0,0,4.0
Armin,Pecsi,Liverpool,Goalkeeper,40,0,0,0,0,0.0,0.0,0,4.0
Vitezslav,Jaros,Liverpool,Goalkeeper,40,0,0,0,0,0.0,0.0,0,4.0
Harvey,Davies,Liverpool,Goalkeeper,40,0,0,0,0,0.0,0.0,0,4.0
Virgil,van Dijk,Liverpool,Defender,65,270,0,0,1,0.25,0.06,9,6.5
Jeremie,Frimpong,Liverpool,Defender,54,160,0,0,0,0.01,0.11,1,5.4
Milos,Kerkez,Liverpool,Defender,55,250,0,0,1,0.02,0.06,6,5.5
Joe,Gomez,Liverpool,Defender,50,0,0,0,0,0.0,0.0,0,5.0
Conor,Bradley,Liverpool,Defender,50,0,0,0,0,0.0,0.0,0,5.0
Wellity,Lucky,Liverpool,Defender,40,0,0,0,0,0.0,0.0,0,4.0
Jeremy,Jacquet,Liverpool,Defender,50,235,0,0,1,0.0,0.1,9,5.0
Giovanni,Leoni,Liverpool,Defender,40,0,0,0,0,0.0,0.0,0,4.0
Kostas,Tsimikas,Liverpool,Defender,50,19,0,0,0,0.04,0.01,1,5.0
Calvin,Ramsay,Liverpool,Defender,40,0,0,0,0,0.0,0.0,0,4.0
Florian,Wirtz,Liverpool,Midfielder,74,242,0,1,1,0.67,0.29,9,7.4
Cody,Gakpo,Liverpool,Midfielder,71,250,1,3,1,0.36,1.2,28,7.1
Dominik,Szoboszlai,Liverpool,Midfielder,70,270,1,0,1,1.17,0.52,15,7.0
Rio,Ngumoha,Liverpool,Midfielder,59,81,0,0,0,0.04,0.05,3,5.9
Federico,Chiesa,Liverpool,Midfielder,54,0,0,0,0,0.0,0.0,0,5.4
Ryan,Gravenberch,Liverpool,Midfielder,59,122,0,1,0,0.06,0.06,7,5.9
Alexis,Mac Allister,Liverpool,Midfielder,55,186,0,0,1,0.08,0.42,5,5.5
Curtis,Jones,Liverpool,Midfielder,55,0,0,0,0,0.0,0.0,0,5.5
Endo,Wataru,Liverpool,Midfielder,50,0,0,0,0,0.0,0.0,0,5.0
Trey,Nyoni,Liverpool,Midfielder,49,19,0,0,0,0.0,0.0,2,4.9
Stefan,Bajčetić Maquieira,Liverpool,Midfielder,50,0,0,0,0,0.0,0.0,0,5.0
Victor,Munoz,Liverpool,Midfielder,65,180,1,1,1,0.42,0.25,13,6.5
James,McConnell,Liverpool,Midfielder,45,0,0,0,0,0.0,0.0,0,4.5
Alexander,Isak,Liverpool,Forward,90,243,3,0,1,2.29,0.06,23,9.0
Hugo,Ekitiké,Liverpool,Forward,75,0,0,0,0,0.0,0.0,0,7.5
Lewis,Koumas,Liverpool,Midfielder,50,13,0,0,0,0.03,0.0,2,5.0
Jayden,Danns,Liverpool,Forward,45,0,0,0,0,0.0,0.0,0,4.5
Harvey,Elliott,Liverpool,Midfielder,54,0,0,0,0,0.0,0.0,0,5.4
Ronald,Araujo,Liverpool,Defender,54,123,0,0,1,0.0,0.05,9,5.4
Bradley,Barcola,Liverpool,Midfielder,80,26,0,0,0,0.0,0.07,1,8.0
Enzo,Fernández,Man City,Midfielder,69,100,0,0,1,0.13,0.14,4,6.9
Iliman,Ndiaye,Man City,Midfielder,59,266,0,1,2,0.28,0.43,16,5.9
Gianluigi,Donnarumma,Man City,Goalkeeper,55,270,0,0,1,0.0,0.0,10,5.5
Marcus,Bettinelli,Man City,Goalkeeper,45,0,0,0,0,0.0,0.0,0,4.5
Nico,O'Reilly,Man City,Defender,65,150,0,0,0,0.09,0.43,4,6.5
Marc,Guéhi,Man City,Defender,60,270,1,0,1,0.89,0.38,20,6.0
Matheus,Nunes,Man City,Defender,59,33,0,0,0,0.0,0.04,1,5.9
Rúben,dos Santos Gato Alves Dias,Man City,Defender,55,270,0,0,1,0.09,0.74,10,5.5
Joško,Gvardiol,Man City,Defender,56,254,1,1,1,0.2,0.11,22,5.6
Rayan,Aït-Nouri,Man City,Defender,54,0,0,0,0,0.0,0.0,0,5.4
Abdukodir,Khusanov,Man City,Defender,55,268,0,0,1,0.0,0.06,9,5.5
Max,Alleyne,Man City,Defender,50,0,0,0,0,0.0,0.0,0,5.0
Rico,Lewis,Man City,Defender,45,56,0,0,0,0.17,0.02,1,4.5
Vitor,de Oliveira Nunes dos Reis,Man City,Defender,45,1,0,0,0,0.0,0.0,1,4.5
Antoine,Semenyo,Man City,Midfielder,84,270,0,2,1,0.17,0.93,13,8.4
Phil,Foden,Man City,Midfielder,70,195,0,2,0,1.61,0.86,11,7.0
Rayan,Cherki,Man City,Midfielder,78,173,2,2,1,0.56,1.35,25,7.8
Jérémy,Doku,Man City,Midfielder,74,0,0,0,0,0.0,0.0,0,7.4
Rodrigo 'Rodri',Hernandez Cascante,Man City,Midfielder,65,0,0,0,0,0.0,0.0,0,6.5
Tijjani,Reijnders,Man City,Midfielder,60,0,0,0,0,0.0,0.0,0,6.0
Mateo,Kovačić,Man City,Midfielder,54,42,0,0,0,0.0,0.02,2,5.4
Claudio,Echeverri,Man City,Midfielder,49,0,0,0,0,0.0,0.0,0,4.9
Kalvin,Phillips,Man City,Midfielder,50,0,0,0,0,0.0,0.0,0,5.0
Divine,Mukasa,Man City,Midfielder,45,0,0,0,0,0.0,0.0,0,4.5
Jeremy,Monga,Man City,Midfielder,49,0,0,0,0,0.0,0.0,0,4.9
Erling,Haaland,Man City,Forward,155,270,3,0,1,2.46,0.5,24,15.5
Elliot,Anderson,Man City,Midfielder,64,233,0,0,1,0.09,0.64,8,6.4
Gerónimo,Rulli,Man City,Goalkeeper,50,0,0,0,0,0.0,0.0,0,5.0
Ayyoub,Bouaddi,Man City,Midfielder,55,22,0,0,0,0.0,0.12,2,5.5
Ryan,McAidoo,Man City,Midfielder,45,11,0,0,0,0.1,0.0,2,4.5
Kaden,Braithwaite,Man City,Defender,40,1,0,0,0,0.0,0.0,1,4.0
Allan,Andrade Elias,Man City,Midfielder,60,0,0,0,0,0.0,0.0,0,6.0
Floyd,Samba,Man City,Midfielder,45,0,0,0,0,0.0,0.0,0,4.5
Youri,Tielemans,Man Utd,Midfielder,59,156,0,0,0,0.51,0.22,6,5.9
Carlos,Baleba,Man Utd,Midfielder,50,0,0,0,0,0.0,0.0,0,5.0
Andrey,Nascimento dos Santos,Man Utd,Midfielder,49,76,0,0,0,0.0,0.23,3,4.9
Karl,Darlow,Man Utd,Goalkeeper,45,0,0,0,0,0.0,0.0,0,4.5
Senne,Lammens,Man Utd,Goalkeeper,50,180,0,0,0,0.0,0.0,3,5.0
Altay,Bayındır,Man Utd,Goalkeeper,45,0,0,0,0,0.0,0.0,0,4.5
Tom,Heaton,Man Utd,Goalkeeper,40,0,0,0,0,0.0,0.0,0,4.0
Patrick,Dorgu,Man Utd,Midfielder,59,55,0,0,0,0.65,0.04,1,5.9
Matthijs,de Ligt,Man Utd,Defender,50,0,0,0,0,0.0,0.0,0,5.0
Diogo,Dalot Teixeira,Man Utd,Defender,49,83,0,0,0,0.15,0.12,3,4.9
Harry,Maguire,Man Utd,Defender,50,180,0,1,0,0.07,0.41,5,5.0
Lisandro,Martínez,Man Utd,Defender,50,90,0,0,0,0.03,0.06,1,5.0
Leny,Yoro,Man Utd,Defender,49,16,0,0,0,0.0,0.01,1,4.9
Ayden,Heaven,Man Utd,Defender,44,90,0,0,0,0.12,0.04,1,4.4
Noussair,Mazraoui,Man Utd,Defender,45,96,0,0,0,0.22,0.05,2,4.5
Luke,Shaw,Man Utd,Defender,45,162,0,0,0,0.0,0.28,3,4.5
Harry,Amass,Man Utd,Defender,40,0,0,0,0,0.0,0.0,0,4.0
Tyler,Fredricson,Man Utd,Defender,40,0,0,0,0,0.0,0.0,0,4.0
Bruno,Borges Fernandes,Man Utd,Midfielder,120,180,3,1,0,2.1,0.74,25,12.0
Bryan,Mbeumo,Man Utd,Midfielder,79,180,1,1,0,2.26,0.44,13,7.9
Matheus,Santos Carneiro da Cunha,Man Utd,Midfielder,79,158,0,2,0,0.35,0.36,11,7.9
Marcus,Rashford,Man Utd,Midfielder,70,124,0,0,0,0.26,0.15,3,7.0
Mason,Mount,Man Utd,Midfielder,54,0,0,0,0,0.0,0.0,0,5.4
Amad,Diallo,Man Utd,Midfielder,58,0,0,0,0,0.0,0.0,0,5.8
Kobbie,Mainoo,Man Utd,Midfielder,55,102,0,0,0,0.21,0.28,5,5.5
Manuel,Ugarte Ribeiro,Man Utd,Midfielder,50,0,0,0,0,0.0,0.0,0,5.0
Jack,Fletcher,Man Utd,Midfielder,50,0,0,0,0,0.0,0.0,0,5.0
Shea,Lacey,Man Utd,Midfielder,50,10,0,0,0,0.0,0.0,1,5.0
Toby,Collyer,Man Utd,Midfielder,50,0,0,0,0,0.0,0.0,0,5.0
Bendito,Mantato,Man Utd,Midfielder,45,0,0,0,0,0.0,0.0,0,4.5
Tyler,Fletcher,Man Utd,Midfielder,45,0,0,0,0,0.0,0.0,0,4.5
Benjamin,Sesko,Man Utd,Forward,70,33,0,0,0,0.04,0.01,2,7.0
Joshua,Zirkzee,Man Utd,Forward,54,0,0,0,0,0.0,0.0,0,5.4
Chido,Obi,Man Utd,Forward,45,0,0,0,0,0.0,0.0,0,4.5
Nico,González Iglesias,Newcastle,Midfielder,55,146,0,0,1,0.0,0.21,4,5.5
Nick,Pope,Newcastle,Goalkeeper,50,0,0,0,0,0.0,0.0,0,5.0
Mark,Gillespie,Newcastle,Goalkeeper,45,0,0,0,0,0.0,0.0,0,4.5
Ewen,Jaouen,Newcastle,Goalkeeper,45,0,0,0,0,0.0,0.0,0,4.5
Malick,Thiaw,Newcastle,Defender,50,270,0,0,1,0.0,0.07,8,5.0
Fabian,Schär,Newcastle,Defender,50,1,0,0,0,0.0,0.0,1,5.0
Sven,Botman,Newcastle,Defender,50,270,0,0,1,0.01,0.17,9,5.0
Dan,Burn,Newcastle,Defender,49,0,0,0,0,0.0,0.0,0,4.9
Lewis,Hall,Newcastle,Defender,51,269,0,1,1,0.04,0.67,18,5.1
Tino,Livramento,Newcastle,Defender,49,1,0,0,0,0.0,0.0,1,4.9
Alex,Murphy,Newcastle,Defender,40,0,0,0,0,0.0,0.0,0,4.0
Harvey,Barnes,Newcastle,Midfielder,60,270,1,1,1,0.22,0.06,17,6.0
Anthony,Elanga,Newcastle,Midfielder,61,232,2,0,1,0.42,0.34,18,6.1
Jacob,Ramsey,Newcastle,Midfielder,49,69,1,0,0,0.17,0.16,7,4.9
Jacob,Murphy,Newcastle,Midfielder,59,35,0,0,0,0.0,0.2,2,5.9
Joelinton Cássio,Apolinário de Lira,Newcastle,Midfielder,54,0,0,0,0,0.0,0.0,0,5.4
Lewis,Miley,Newcastle,Midfielder,55,227,0,0,1,0.05,0.07,8,5.5
Joe,Willock,Newcastle,Midfielder,50,166,1,0,1,0.52,0.2,11,5.0
Bazoumana,Touré,Newcastle,Midfielder,59,1,0,0,0,0.0,0.0,1,5.9
Sean,Steur,Newcastle,Midfielder,49,87,0,0,0,0.0,0.0,3,4.9
Nick,Woltemade,Newcastle,Forward,59,19,0,1,0,0.02,0.01,4,5.9
Yoane,Wissa,Newcastle,Forward,62,261,1,1,1,1.35,0.05,13,6.2
William,Osula,Newcastle,Forward,59,55,0,1,0,0.06,0.14,4,5.9
Sean,Neave,Newcastle,Forward,45,0,0,0,0,0.0,0.0,0,4.5
Aladji,Bamba,Newcastle,Midfielder,49,14,0,0,0,0.0,0.0,1,4.9
Lukás,Hornícek,Newcastle,Goalkeeper,50,270,0,0,1,0.0,0.0,10,5.0
Amar,Dedic,Newcastle,Defender,45,270,0,1,1,0.14,0.08,13,4.5
Leo,Shahar,Newcastle,Defender,40,0,0,0,0,0.0,0.0,0,4.0
Matias,Fernandez-Pardo,Newcastle,Forward,60,27,0,0,0,0.0,0.0,1,6.0
Liam,Delap,Nott'm Forest,Forward,55,97,0,0,1,0.13,0.06,3,5.5
Daniel,Muñoz Mejía,Nott'm Forest,Defender,54,85,0,0,0,0.26,0.01,1,5.4
Matz,Sels,Nott'm Forest,Goalkeeper,50,270,0,0,1,0.0,0.01,9,5.0
John Victor,Maciel Furtado,Nott'm Forest,Goalkeeper,45,0,0,0,0,0.0,0.0,0,4.5
Neco,Williams,Nott'm Forest,Defender,50,270,0,1,1,0.12,0.24,15,5.0
Felipe,Rodrigues da Silva,Nott'm Forest,Defender,50,0,0,0,0,0.0,0.0,0,5.0
Nikola,Milenković,Nott'm Forest,Defender,55,270,0,0,1,0.11,0.03,12,5.5
Murillo,Costa dos Santos,Nott'm Forest,Defender,55,269,0,0,1,0.35,0.28,13,5.5
Ola,Aina,Nott'm Forest,Defender,45,216,0,0,1,0.04,0.52,6,4.5
Jair,Paula da Cunha Filho,Nott'm Forest,Defender,45,270,0,0,1,0.03,0.01,10,4.5
Nicolò,Savona,Nott'm Forest,Defender,45,0,0,0,0,0.0,0.0,0,4.5
Omar,Richards,Nott'm Forest,Defender,40,0,0,0,0,0.0,0.0,0,4.0
Zach,Abbott,Nott'm Forest,Defender,40,0,0,0,0,0.0,0.0,0,4.0
Luca,Netz,Nott'm Forest,Defender,45,20,0,0,0,0.0,0.0,2,4.5
Tyler,Bindon,Nott'm Forest,Defender,40,0,0,0,0,0.0,0.0,0,4.0
Morgan,Gibbs-White,Nott'm Forest,Midfielder,79,270,1,1,1,1.4,0.11,18,7.9
Callum,Hudson-Odoi,Nott'm Forest,Midfielder,59,1,0,0,0,0.0,0.0,1,5.9
Dan,Ndoye,Nott'm Forest,Midfielder,55,184,1,0,1,0.35,0.63,13,5.5
Omari,Hutchinson,Nott'm Forest,Midfielder,54,0,0,0,0,0.0,0.0,0,5.4
Dilane,Bakwa,Nott'm Forest,Midfielder,55,0,0,0,0,0.0,0.0,0,5.5
James,McAtee,Nott'm Forest,Midfielder,55,253,0,0,2,0.13,0.54,7,5.5
Nicolás,Domínguez,Nott'm Forest,Midfielder,49,1,0,0,0,0.0,0.0,1,4.9
Ibrahim,Sangaré,Nott'm Forest,Midfielder,49,90,0,0,0,0.03,0.01,2,4.9
Ryan,Yates,Nott'm Forest,Midfielder,45,0,0,0,0,0.0,0.0,0,4.5
Chris,Wood,Nott'm Forest,Forward,59,44,0,0,0,0.12,0.01,2,5.9
Igor Jesus,Maciel da Cruz,Nott'm Forest,Forward,59,211,0,0,0,0.96,0.06,4,5.9
Arnaud,Kalimuendo,Nott'm Forest,Forward,54,1,0,0,0,0.0,0.0,1,5.4
Xaver,Schlager,Nott'm Forest,Midfielder,50,196,0,0,1,0.08,0.06,8,5.0
Ousmane,Diomande,Nott'm Forest,Defender,54,1,0,0,0,0.0,0.0,1,5.4
Steven,Benda,Nott'm Forest,Goalkeeper,45,0,0,0,0,0.0,0.0,0,4.5
Jan Paul,van Hecke,Spurs,Defender,49,270,0,0,1,0.2,0.07,10,4.9
Tosin,Adarabioyo,Spurs,Defender,44,0,0,0,0,0.0,0.0,0,4.4
Omar,Marmoush,Spurs,Forward,70,173,0,0,1,0.34,0.08,4,7.0
Sávio,Moreira de Oliveira,Spurs,Midfielder,65,60,0,0,1,0.02,0.27,3,6.5
Sandro,Tonali,Spurs,Midfielder,54,254,0,0,1,0.09,0.09,9,5.4
Guglielmo,Vicario,Spurs,Goalkeeper,45,0,0,0,0,0.0,0.0,0,4.5
Brandon,Austin,Spurs,Goalkeeper,40,0,0,0,0,0.0,0.0,0,4.0
Antonín,Kinský,Spurs,Goalkeeper,45,270,0,0,1,0.0,0.0,9,4.5
Martin,Dubravka,Spurs,Goalkeeper,40,0,0,0,0,0.0,0.0,0,4.0
Marcos,Senesi Barón,Spurs,Defender,59,90,0,0,0,0.0,0.02,3,5.9
Pedro,Porro Sauceda,Spurs,Defender,55,180,0,0,1,0.36,0.16,8,5.5
Cristian,Romero,Spurs,Defender,50,0,0,0,0,0.0,0.0,0,5.0
Andrew,Robertson,Spurs,Defender,45,186,0,0,0,0.06,0.08,6,4.5
Micky,van de Ven,Spurs,Defender,50,180,0,0,1,0.57,0.02,9,5.0
Djed,Spence,Spurs,Defender,45,0,0,0,0,0.0,0.0,0,4.5
Destiny,Udogie,Spurs,Defender,45,86,0,0,1,0.0,0.23,7,4.5
Ashley,Phillips,Spurs,Defender,45,0,0,0,0,0.0,0.0,0,4.5
Ben,Davies,Spurs,Defender,40,0,0,0,0,0.0,0.0,0,4.0
Jun'ai,Byfield,Spurs,Defender,40,0,0,0,0,0.0,0.0,0,4.0
James,Rowswell,Spurs,Defender,40,0,0,0,0,0.0,0.0,0,4.0
João Victor,de Souza Menezes,Spurs,Defender,40,0,0,0,0,0.0,0.0,0,4.0
Mohammed,Kudus,Spurs,Midfielder,65,51,0,0,0,0.04,0.17,2,6.5
Xavi,Simons,Spurs,Midfielder,60,0,0,0,0,0.0,0.0,0,6.0
Mathys,Tel,Spurs,Midfielder,59,230,0,0,1,0.2,0.14,7,5.9
James,Maddison,Spurs,Midfielder,64,22,0,0,0,0.0,0.01,1,6.4
Rodrigo,Bentancur,Spurs,Midfielder,55,225,0,0,1,0.02,0.04,8,5.5
Wilson,Odobert,Spurs,Midfielder,55,0,0,0,0,0.0,0.0,0,5.5
Pape Matar,Sarr,Spurs,Midfielder,49,0,0,0,0,0.0,0.0,0,4.9
Conor,Gallagher,Spurs,Midfielder,54,128,0,0,1,0.02,0.12,3,5.4
Lucas,Bergvall,Spurs,Midfielder,54,45,0,0,0,0.0,0.01,1,5.4
Dejan,Kulusevski,Spurs,Midfielder,65,0,0,0,0,0.0,0.0,0,6.5
Archie,Gray,Spurs,Midfielder,50,152,0,0,0,0.0,0.01,4,5.0
Mikey,Moore,Spurs,Midfielder,50,89,0,0,0,0.4,0.02,3,5.0
Callum,Olusesi,Spurs,Midfielder,45,0,0,0,0,0.0,0.0,0,4.5
Mateus,Fernandes,Spurs,Midfielder,59,142,0,0,0,0.01,0.23,3,5.9
Dominic,Solanke-Mitchell,Spurs,Forward,59,43,0,0,0,0.44,0.0,3,5.9
Richarlison,de Andrade,Spurs,Forward,59,67,0,0,0,0.0,0.0,2,5.9
Dane,Scarlett,Spurs,Forward,45,0,0,0,0,0.0,0.0,0,4.5
Mykhailo,Mudryk,Spurs,Midfielder,54,16,0,0,0,0.0,0.0,1,5.4
Luca,Williams-Barnett,Spurs,Midfielder,45,0,0,0,0,0.0,0.0,0,4.5
Kevin,Danso,Sunderland,Defender,50,90,0,0,0,0.0,0.08,2,5.0
Robin,Roefs,Sunderland,Goalkeeper,50,270,0,0,1,0.0,0.0,9,5.0
Anthony,Patterson,Sunderland,Goalkeeper,40,0,0,0,0,0.0,0.0,0,4.0
Melker,Ellborg,Sunderland,Goalkeeper,45,0,0,0,0,0.0,0.0,0,4.5
Daniel,Ballard,Sunderland,Defender,50,270,0,0,1,0.09,0.15,12,5.0
Nordi,Mukiele,Sunderland,Defender,55,180,0,0,1,0.0,0.03,13,5.5
Trai,Hume,Sunderland,Defender,45,195,0,0,1,0.04,0.28,9,4.5
Omar,Alderete,Sunderland,Defender,49,23,0,0,0,0.0,0.01,1,4.9
Reinildo,Mandava,Sunderland,Defender,45,270,0,0,1,0.0,0.31,9,4.5
Jenson,Seelt,Sunderland,Defender,45,0,0,0,0,0.0,0.0,0,4.5
Leo Fuhr,Hjelde,Sunderland,Defender,40,0,0,0,0,0.0,0.0,0,4.0
Luke,O'Nien,Sunderland,Defender,40,66,0,0,0,0.01,0.01,1,4.0
Arthur,Masuaku,Sunderland,Defender,40,0,0,0,0,0.0,0.0,0,4.0
Thomas,Meunier,Sunderland,Defender,45,243,0,0,1,0.21,0.13,9,4.5
Enzo,Le Fée,Sunderland,Midfielder,59,258,1,0,1,1.21,0.23,13,5.9
Habib,Diarra,Sunderland,Midfielder,54,28,0,1,0,0.03,0.16,5,5.4
Granit,Xhaka,Sunderland,Midfielder,55,270,0,1,1,0.06,0.57,18,5.5
Noah,Sadiki,Sunderland,Midfielder,50,253,0,0,1,0.36,0.23,6,5.0
Simon,Adingra,Sunderland,Midfielder,49,0,0,0,0,0.0,0.0,0,4.9
Romaine,Mundle,Sunderland,Midfielder,50,1,0,0,0,0.17,0.0,1,5.0
Chris,Rigg,Sunderland,Midfielder,50,17,0,0,0,0.0,0.0,2,5.0
Chemsdine,Talbi,Sunderland,Midfielder,54,31,0,0,0,0.0,0.0,1,5.4
Djiamgone Jocelin Ta,Bi,Sunderland,Midfielder,50,0,0,0,0,0.0,0.0,0,5.0
Nilson,Angulo,Sunderland,Midfielder,50,185,1,0,1,0.15,0.12,10,5.0
Brian,Brobbey,Sunderland,Forward,59,219,0,0,1,0.59,0.06,6,5.9
Wilson,Isidor,Sunderland,Forward,55,75,1,1,0,1.49,0.01,13,5.5
Dayann,Méthalie,Sunderland,Defender,45,0,0,0,0,0.0,0.0,0,4.5
Jules,Ahoka,Sunderland,Midfielder,45,0,0,0,0,0.0,0.0,0,4.5
Malick,Fofana,Sunderland,Midfielder,55,16,0,0,0,0.0,0.0,1,5.5
Juan,Angulo,Sunderland,Forward,45,0,0,0,0,0.0,0.0,0,4.5
